Engine,Email,URL
0xSI_f33d,,
360,kefu@360.cn,
ADMINUSLabs,"info@adminuslabs.net, samples@adminus.net, falsepositive@adminuslabs.net",
AILabs,aicc@monitorapp.com,
AVG,,"http://www.avg.com/submit-sample, http://www.avg.com/us-en/whitelist"
Abusix,support@abusix.com,
Acronis,virustotal-falsepositive@acronis.com,
AegisLab,support@aegislab.com,
Ahnlab,"e-support@ahnlab.com, samples@ahnlab.com",
AliCloud,antivirus@alibabacloud.comm,
Alibaba,virustotal@list.alibaba-inc.com,
AlienVault,otx-support@alienvault.com,
AlphaMountain,support@alphamountain.ai,
AlphaSOC,virustotal@alphasoc.com,
Antivir (Avira),,https://www.avira.com/en/analysis/submit-url
Antiy-AVL,avlsdk_support@antiy.cn,
ArcSight Threat Intelligence,arcsight-virustotal@microfocus.com,
Arcabit,vt.fp@arcabit.pl,
AutoShun,info@autoshun.org,
Avast,DL-Virus@gendigital.com,
Baidu,"bav@baidu.com, gaoyingchun@baidu.com",
Bfore.Ai PreCrime,,https://bfore.ai/support
BitDefender,virus_submission@bitdefender.com,
Bkav,"fpreport@bkav.com, bkav@bkav.com",
Blueliv,,
CINS Army,,http://cinsscore.com/#contact
CMC Threat Intelligence,PSIRT@cmccybersecurity.com,
CRDF,,https://threatcenter.crdf.fr/false_positive.html
CSIS Security Group,abuse-reporting@csis.com,
CTX (SaintSecurity),root@malwares.com,
Certego,,https://www.certego.net/en/contatti/
Chong Lua Dao,info@chongluadao.vn,
ClamAV,,http://www.clamav.net/reports/fp
Clean-MX,abuse@clean-mx.de,
Cluster25,threatintel@cluster25.io,
Criminal IP,support@aispera.com,
CrowdStrike,VTscanner@crowdstrike.com,
CyRadar,virustotal@cyradar.com,
Cyan,virustotal@cyansecurity.com,
Cybereason,vt-feedback@cybereason.com,
Cyble,cyblevt_patnership@cyble.com,
Cylance,cylancefilesubmit@blackberry.com,
Cynet,soc@cynet.com,
DNS8,dns8@layer8.pt,
Deep Instinct,vt-fps-requests@deepinstinct.com,
Dr.Web,vms@drweb.com,
ESET,,https://support.eset.com/kb141/?page=content&id=SOLN141
ESTsecurity,esrc@estsecurity.com,
Elastic,,https://discuss.elastic.co/t/submitting-false-positives/232322
EmergingThreats,,
Emsisoft,"submit@emsisoft.com, fp@emsisoft.com",https://www.emsisoft.com/en/support/contact/
Ermes,support-vt@ermes.company,
F-Prot,viruslab@f-prot.com,
F-Secure/WithSecure,"spyware-samples@f-secure.com, vsamples@f-secure.com",
FireEye,virustotal@fireeye.com,
Forcepoint ThreatSeeker,reviewmysite@forcepoint.com,
Fortinet,,https://www.fortiguard.com/faq/classificationdispute http://www.fortinet.com/support/contact_support.html
G-Data,,https://www.gdata.de/help/en/general/GeneralInformation/submitFileAppURL/
Google (File Scanner),google-at-virustotal@google.com,
Google Safebrowsing,,https://safebrowsing.google.com/safebrowsing/report_error/?hl=en
GreenSnow,,https://greensnow.co/contact
Gridinsoft,virus@gridinsoft.com,
Hacksoft,virus@hacksoft.com.pe,
Hauri,viruslab@hauri.co.kr,
Heimdal Security,,
Heimdal,report-vt@heimdalsecurity.com,
Hoplite Industries,vt-info@hopliteindustries.com,
Hunt.io Intelligence,k.lo@hunt.io,
Huorong,seclab@huorong.cn,
IPsum,"support@jiangmin.com, shaojia@jiangmin.com",https://github.com/stamparm/ipsum
Ikarus,fp@ikarus.at,
Inca (previous nProtect),virus_info@inca.co.kr,
